,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = yes,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,siebert_sent_score,v_sent,tb_sent,siebert_sent
0,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,12,8,Frontier,,letter,,"The negotiation was both tedious and troublesome, and for a long time had an unpromising aspect, but it came at last to as favorable an issue as could have been expected; and I trust will be attended with consequences friendly to the frontier parts of the United States.",0.9473,-0.055,-0.967705786,Positive,Neutral,NEGATIVE
1,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,12,9,Frontier,,letter,VA,"There are, however, several nations on the Wabash, and the rivers which empty themselves into it, that are ill disposed, and from whom there is reason to expect, that a part of the frontier of Virginia, and the settlement forming on the Miami, will meet annoyance; indeed, that they have not been disturbed during the winter was not expected, either by me or the chiefs of the nations, who met me at fort Harmar.",-0.5742,-0.1375,0.985575199,Negative,Neutral,POSITIVE
2,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,11,Frontier,,letter,,"But the disputes which exist between some of the United States, and several powerful tribes of Indians within the limits of the Union; and the hostilities which have, in several instances, been committed on the frontiers, seem to require the immediate interposition of the General Government.",0.5023,0.0875,0.988879085,Positive,Neutral,POSITIVE
3,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,15,Frontier,,letter,,"How far such a measure, unassisted by posts, would be competent to the establishment and preservation of peace and tranquillity on the frontiers, is, also, a matter which merits your serious consideration.",0.8779,0.066666667,0.992227077,Positive,Neutral,POSITIVE
4,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,32,Frontier,,letter,,"Number 2, which will be submitted shortly, will shew the situation of the Southern Indians, and contain some observations on the difficulties subsisting between them and the frontier people of the States of Georgia and North Carolina.",-0.2263,0,0.996844411,Neutral,Neutral,POSITIVE
5,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,14,38,Frontier,,letter,,"By information from Brigadier General Harmar, the commanding officer of the troops on the frontiers, it appears that several murders have been lately committed on the inhabitants, by small parties of Indians, probably from the Wabash country.",-0.0516,-0.125,-0.939176619,Neutral,Neutral,NEGATIVE
6,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,23,33,Frontier,,letter,,"The white people on the frontier continuing their encroachments; they pursue their surveys into the Indian country, and destroy the game there.",-0.5423,-0.2,-0.996325672,Negative,Neutral,NEGATIVE
7,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,26,27,Frontier,,letter,,"It was but a little while, however, before several murders were committed on our frontier, and which have been repeated, from time to time, until mutual hostilities have at length taken place on the whole length of our borders and a war, by the savages, is now raging with all its horrors.",-0.9843,0.004166667,-0.9828403,Negative,Neutral,NEGATIVE
8,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,1,Frontier,,letter,GA,"The Secretary of the United States for the Department of War, in obedience to the order of Congress of the 15th instant to report a plan for the protection of the frontier of Georgia, agreeably to the principle of the resolve of Congress of the 21st of July, 1787, reports: That he conceives it is intended the protection to be afforded the State of Georgia, should be complete, in case the Creek Indians should persist in refusing to enter into a treaty on reasonable terms, and to comprehend all :) operations offensive, as well as defensive, that may be deemed necessary for the full accomplishment of the object.",0.3818,0.164285714,0.996002495,Positive,Neutral,POSITIVE
9,uc1.c041550129,"American state papers : documents, legislative and executive, of the Congress of the United States ... /",1832,27,7,Frontier,,letter,GA,"That the case is widely different on the frontiers of Georgia, no troops of the United States being there, nor is it easily practicable to remove any considerable body from the Ohio, were the measure expedient in other respects.",0.2177,0.102083333,-0.990137815,Neutral,Neutral,NEGATIVE
